COUNTRY,STORE_OP_ZONE_ID,BRAND_CATEGORY,DIA_SEMANA,ORDENES_TOTALES_DIA_AVG,GMV_DIA_AVG
CO,27,Típica,Wed,139.750000,1838.56
AR,12,Hot Dogs,Sun,22.250000,287.0475
MX,1046,Asiática,Wed,17.500000,433.2125
MX,1046,Asiática,Sun,22.500000,664.2125
MX,460,Chilaquiles y Enchiladas,Wed,36.750000,517.52
EC,150,Pollo,Fri,1.000000,5.935
EC,241,Ecuatoriana,Tue,90.000000,1328.4225
PE,9,Criolla,Sun,411.750000,10381.24
PE,9,Criolla,Fri,436.000000,7373.2625
MX,1120,Pescados y Mariscos,Fri,2.500000,70.2075
CO,72,Postres,Fri,95.250000,1920.445
MX,939,Pozole y Caldos,Sun,7.250000,124.995
MX,657,Café y Té,Sat,134.500000,1344.035
CO,4,Hamburguesa,Sun,5554.750000,101389.215
MX,1321,Sándwiches,Sat,22.500000,357.295
AR,10,Helados,Sat,361.000000,5279.2175
CO,8,Típica,Sun,162.500000,2718.87
PE,10,Pollo crujiente,Fri,1633.750000,30103.87
MX,818,Mexicana,Wed,63.000000,819.0875
MX,1371,Pescados y Mariscos,Thu,31.750000,848.1625
MX,1007,Pizza,Sat,1144.500000,24459.3675
CL,21,Saludable,Fri,199.000000,3445.67
PE,50,Café,Sun,96.250000,1079.935
MX,733,Pollo,Sun,33.750000,835.0575
MX,1221,Tacos,Thu,21.250000,565.1
CO,354,Comida Rápida,Fri,71.500000,1087.4225
MX,865,Café y Té,Wed,14.000000,221.31
CL,2,Hamburguesa,Tue,39.250000,716.99
CL,2,Hamburguesa,Sun,78.500000,1545.58
CO,53,Alitas,Sat,9.750000,191.71
CO,61,Jugos y Batidos,Tue,68.250000,682.9875
MX,1538,Antojitos y Garnachas,Fri,12.500000,134.415
MX,908,Mexicana,Mon,53.250000,1081.3025
EC,140,Postres,Fri,33.000000,501.2575
MX,1422,Tacos,Tue,36.500000,520.68
MX,116,Mexicana,Mon,20.000000,243.605
MX,819,Café y Té,Thu,129.500000,1711.7725
MX,659,Hamburguesas,Fri,126.750000,1918.26
MX,1075,Postres,Fri,276.750000,5603.34
MX,972,Postres,Thu,160.000000,2057.62
MX,1422,Comida Rápida,Thu,76.000000,1403.9075
MX,565,Pollo,Fri,17.750000,265.7475
MX,886,Desayunos y Brunch,Mon,20.250000,459.43
MX,660,Pizza,Sat,88.000000,1186.3475
MX,660,Pizza,Wed,47.000000,604.885
CO,100,Parrilla,Sat,142.000000,2284.915
CO,48,Mexicana,Wed,28.750000,420.81
MX,1007,India,Wed,9.500000,436.2325
CO,200,Parrilla,Fri,29.750000,428.045
CO,16,Pizza,Mon,587.000000,10934.925
CO,16,Pizza,Sat,989.500000,19897.61
MX,972,Pizza,Wed,516.000000,7268.0325
AR,169,Pokes,Mon,31.000000,518.4975
MX,1003,Café y Té,Tue,978.250000,11904.32
MX,911,Smoothies y Jugos,Fri,23.250000,367.975
AR,12,Panadería,Sun,362.500000,5005.3225
MX,1075,Saludables y Ensaladas,Thu,351.250000,7013.435
MX,1380,Pollo,Wed,38.250000,639.99
MX,939,Pizza,Wed,155.250000,4368.185
CO,15,Sánduches,Thu,12.250000,224.38
BR,844,Burgers,Fri,3.250000,44.355
AR,12,Pizza,Mon,530.500000,11080.1325
MX,939,Postres,Wed,88.750000,2145.5825
MX,890,Pollo,Thu,6.500000,135.8225
MX,730,Barbacoa y Birria,Thu,1.000000,14.795
MX,1231,Café y Té,Mon,2.500000,31.7125
CO,213,Típica,Wed,70.750000,626.595
PE,10,Café,Sat,318.500000,4933.9625
MX,107,Comida Rápida,Sun,35.250000,639.6375
MX,1536,Saludables y Ensaladas,Sun,0.250000,1.0925
AR,595,Panadería,Sun,145.000000,1377.76
AR,595,Panadería,Tue,88.500000,844.7575
MX,731,Pollo,Sun,68.250000,1164.835
MX,1481,Saludables y Ensaladas,Sun,61.500000,1556.11
MX,1146,Tacos,Tue,21.000000,210.635
EC,186,Pollo,Wed,1.500000,12.58
EC,241,Ecuatoriana,Sun,125.250000,2081.13
EC,241,Ecuatoriana,Thu,93.000000,1369.2825
PE,157,Alitas,Mon,1.000000,9.57
CO,0,Postres,Mon,3.750000,27.96
MX,657,Café y Té,Mon,124.500000,1234.3875
CO,31,Parrilla,Fri,130.500000,2872.125
CO,196,Hamburguesa,Mon,26.250000,483.7975
PE,7,Chifa,Thu,11.750000,155.72
CO,23,Sushi,Wed,38.500000,659.6
CO,312,Postres,Thu,161.250000,1724.57
CO,312,Postres,Fri,126.750000,1480.1175
MX,1007,Postres,Sun,449.250000,8387.8575
CO,27,Pizza,Mon,245.750000,4333.065
CO,27,Pizza,Wed,227.000000,4028.05
PE,213,Chifa,Mon,6.500000,71.73
PE,213,Chifa,Sat,10.500000,107.405
PE,10,Pizzas,Sun,1235.500000,27279.0375
CO,262,Árabe,Tue,8.500000,129.0125
MX,1459,Pollo,Tue,0.250000,7.08
AR,616,Empanadas,Thu,0.750000,7.4775
CO,23,Pollo,Tue,525.500000,7346.9625
MX,972,Hamburguesas,Sat,740.750000,13294.505
MX,972,Hamburguesas,Fri,687.500000,11799.5375
BR,1355,Burgers,Tue,0.250000,13.875
AR,10,Helados,Thu,200.500000,2567.05
MX,1007,Italiana,Thu,98.250000,2630.895
CO,8,Típica,Sat,147.250000,2201.82
CO,23,Mexicana,Sat,53.500000,1027.8775
CO,16,Café,Tue,176.000000,1973.9475
CL,2,Pastelería y Postres,Wed,2.000000,26.1475
PE,10,Pollo crujiente,Thu,1343.500000,23376.6825
MX,818,Mexicana,Sat,86.750000,1087.15
MX,0,Comida Rápida,Sun,84.750000,1364.8425
MX,989,Smoothies y Jugos,Mon,9.750000,113.7325
MX,989,Smoothies y Jugos,Sat,8.750000,105.0025
CL,21,Saludable,Sun,180.500000,3438.215
AR,8,Pizza,Thu,4.000000,49.495
PE,10,Saludable,Tue,856.000000,11757.3675
MX,1007,Pizza,Fri,1206.500000,25830.9025
PE,50,Café,Mon,86.500000,852.9525
PE,50,Café,Tue,71.250000,728.5025
AR,511,Panadería,Wed,2.250000,18.5325
CO,354,Comida Rápida,Sun,69.500000,1042.4475
MX,865,Café y Té,Thu,11.750000,159.23
MX,865,Café y Té,Tue,13.500000,218.66
MX,1406,Sándwiches,Tue,5.250000,67.2925
MX,1372,Antojitos y Garnachas,Tue,34.250000,548.995
CO,53,Alitas,Tue,8.500000,170.8575
MX,908,Sándwiches,Sat,39.000000,566.595
EC,21,Pizza,Sat,10.750000,297.945
EC,21,Pizza,Wed,6.250000,166.6775
EC,21,Pizza,Fri,10.000000,233.2775
EC,150,Helados,Tue,3.000000,33.695
AR,12,Saludable,Thu,833.500000,14825.7475
EC,180,Italiana,Tue,2.500000,60.655
EC,140,Postres,Sat,34.750000,610.0175
MX,972,Tacos,Sun,230.750000,4144.935
MX,1391,Tacos,Mon,63.250000,916.475
MX,0,Pollo,Wed,362.250000,5762.5525
MX,890,Mexicana,Tue,27.000000,504.765
MX,972,Mexicana,Sat,144.000000,2655.735
EC,218,Ecuatoriana,Sat,7.750000,174.0325
PE,1,Desayunos,Thu,167.000000,2404.1925
MX,954,Pizza,Wed,181.000000,2447.9875
MX,0,Antojitos y Garnachas,Tue,77.000000,1008.8275
MX,972,Postres,Mon,177.000000,2097.015
MX,1380,Hamburguesas,Mon,54.500000,966.7725
MX,1426,Mexicana,Sat,20.000000,304.87
CO,4,Pizza,Fri,2533.250000,55661.3875
MX,659,Tacos,Mon,69.000000,1121.4025
CO,0,Parrilla,Fri,2.250000,26.875
CO,17,Sánduches,Tue,316.000000,4780.6925
AR,20,Helados,Wed,17.250000,171.9825
